Day,Exercise,Sets,Reps,Suggested Weight (lbs)
Day 1,Treadmill,1,30 mins,N/A
Day 1,Barbell Bench Press,4,10,85
Day 1,Dumbbell Bicep Curl,3,15,20
Day 1,Medicine Ball Twist,3,15,15
Day 2,Rest Day,0,0,0
Day 3,Leg Press Machine,4,10,140
Day 3,Freeweight Squats,4,10,70
Day 3,Freeweight Deadlift,3,10,80
Day 4,Rest Day,0,0,0
Day 5,Treadmill,1,30 mins,N/A
Day 5,Machine Bench Press,3,12,85
Day 5,Medicine Ball Slam,3,12,15
Day 5,Dumbbell Tricep Extension,3,15,20
Day 6,Freeweight Lunges,4,12 each leg,30
Day 6,Leg Press Machine,3,12,150
